property_id,date_posted,days_on_zillow,price,description,beds,baths,year_built,latitude,longitude,lot_size,living_area,address_street,address_city,address_state,address_zipcode,reso_has_garage,reso_has_attached_garage,reso_garage_parking_capacity,reso_parking_capacity,reso_attic,reso_stories,reso_basement_yn,reso_has_cooling,reso_has_heating,reso_is_new_construction,reso_elementary_school,reso_middle_or_junior_school,reso_high_school,reso_tax_annual_amount
3230875,2023-07-08,934,156000,"Appealing 3-bedroom, 1.5-bath ranch in Southwood that backs up to the scenic Champaign Park district's 'Greenbelt II' scenic space.   No garage, but has both workshop room and storage room along with larger bedrooms.  Home has been pre-inspected by Master-Spec Inspections, full copy available upon request.   Priced to sell for a quick and clean-cut sale to qualified pre-approved or cash buyers.... great investment in with a Southwood location.  Three A/C units (all included) and all new kitchen appliances included (Whirlpool washer and dryer negotiable separate).  New water heater too (late 2022).   Outside lawn furniture and fire pit also negotiable separate.  Fantastic Southwood price-point buy opportunity for either owner-occupant or as an investment property priced attractively.... don't miss out on this one!",3,2.0,1964,40.0935,-88.28201,7840.0,1395.0,2106 Cypress Dr,Champaign,IL,61821,False,0.0,,2,,1.0,0.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Centennial High School,2945.0
3218696,2023-07-08,952,94000,"Delightful 2 bedroom, 1 bathroom ranch in Urbana's peaceful Scottswood subdivision! Beautiful landscaping leads you up to the covered front porch and into the spacious living room. The large eat-in kitchen provides great space with plenty of cabinets and countertops  including a center island with bar seating. Two guest bedrooms, each with ample closet space and the updated full bath are found down the hall. Head through the sliding glass doors in the kitchen out to the back covered deck overlooking the large fenced yard with firepit and garden shed! Don't miss out on this one!",2,1.0,1962,40.109535,-88.17328,6000.0,925.0,310 S Scottswood Dr,Urbana,IL,61802,True,0.0,1.0,1,,1.0,0.0,1.0,1.0,0.0,,,,1907.0
3231171,2023-07-09,955,463000,"A one of a kind home located in the sought after Robeson Meadows Subdivision.  Misty Meadow Pl is a quiet street located only a block away from Robeson Park.  Open and bright floor plan with many updates. Spacious and updated eat-in kitchen with granite countertops, stainless steel appliances, island seating and alot of counter space. Main level master suite with oversized bathroom.     Oversized lot with large deck, custom landscaping, and garden.   Recent updates include but not limited to: Kitchen remodel 2018, all windows and some porch doors 2018, roof 2019 (including skylights), top of the line Lennox HVAC 2015,  upstairs bathrooms also renoved in a past few years, decks and porches renovated 2020, crawlspace weatherproofed by Woods Basement Services w/humidifier 2021. Come check out this unique home with tons of character today!!!",4,4.0,1989,40.088966,-88.29023,,3523.0,2205 Misty Meadow Pl,Champaign,IL,61822,True,1.0,2.0,2,,3.0,1.0,1.0,1.0,0.0,Champaign Elementary School,Champaign Junior High School,Champaign High School,9709.0
3213051,2023-07-10,928,185000,"Fantastic investor opportunity for 2 homes, out building plus a detached garage! Both properties boast endless possibilities with great space both inside and out. 2402 offers a large living room, separate dining, spacious kitchen, 2 bedrooms and 1.5 baths. You'll also find great open space in the living room, dining room and kitchen at 2404, plus 3 bedrooms and a shared full bath. Discover incredible storage space in the huge outbuilding with garage door. Sold as is. Take a look today!",3,1.0,1947,40.142853,-88.23865,15500.0,1116.0,2402 N Market St,Champaign,IL,61822,True,1.0,6.0,6,,2.0,0.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Central High School,4124.0
3227488,2023-07-10,945,124000,"Come take a look at this charming 3 bedroom, 1 bathroom home in a great neighborhood! 1,100 sqft of living space with a 1 car attached garage. The spacious backyard is perfect for pets or gathering of friends and family. Has some updates. Property is being sold as-is condition.",3,1.0,1954,40.105354,-88.27495,9240.0,1182.0,1618 Sheridan Rd,Champaign,IL,61821,True,1.0,1.0,1,,1.0,1.0,1.0,1.0,0.0,Champaign/Middle Call Unit 4 351,Champaign/Middle Call Unit 4 351,Centennial High School,3213.0
3228644,2023-07-11,986,165000,"A wonderful home conveniently located near Kenwood School!!  With two living spaces, 3 bedrooms, and a large backyard, this home has everything you've been looking for.  Wood laminate floors flow throughout the living areas and into the kitchen with gorgeous white cabinets and newer countertops.  You'll appreciate the additional storage space and cabinets surrounding the designated laundry area.  The backyard gives you plenty of space to relax on the large wood deck or in the custom swings.  Schedule your showing today!",3,2.0,1963,40.103367,-88.29279,6534.0,1329.0,2805 Maplewood Dr,Champaign,IL,61821,True,1.0,1.0,1,,1.0,0.0,1.0,1.0,0.0,Champaign Elementary School,Champaign/Middle Call Unit 4 351,Centennial High School,3489.0
3221483,2023-07-11,987,150000,This ranch home will impress you with large bedrooms and a beautiful yard!  Step inside to an open floor plan.  The living room features a gas fireplace and a wide-open layout to the kitchen.  In the kitchen you'll find plenty of cabinets and counterspace along with a great view to the backyard.  Both bedrooms are large with good closet space.  The owner's suite includes a private bath with step-in shower.  The hall bath includes a tub/shower combo and updated flooring.  The yard backs to a tucked away corner of neighborhood commons which makes the lot feel twice as large!  A garden shed sits in the back of the lot with small covered patio.  Perfect to enjoy the view!  This home has been very well cared for and is ready for your updates.  Features and Updates:  Anderson windows.  H2O heater new in 2021.  AC in 2015.,2,2.0,1994,40.12068,-88.29916,8580.0,1259.0,3205 Old Warson Rd,Champaign,IL,61822,True,1.0,2.0,2,,1.0,0.0,1.0,1.0,0.0,,,Centennial High School,3391.0
70052598,2023-07-11,895,425000,"Check out this beauty located in the Stone Creek subdivision.  Built in 2014, this home is located on an over sized lot, with no neighbors located behind. With over 3000 sq/ft you will have enough space for all things. The main level's functional layout will win you over immediately. Amish made cabinetry, stainless steel appliances, an over sized kitchen island, large windows throughout and a bonus room that can serve whatever purpose you need. Head upstairs to find 3 of the 4 bedrooms, including the master with a large ensuite & spacious walk in closet. You also have the convenience of the laundry room on the same level. The basement offers more space for entertaining guests with the wet bar & recreation room, as well as an additional bedroom. Step outside to fall in love with the stamped patio & fenced in backyard. Updates include a new refrigerator, new sprinkler system, new fence, & new bamboo flooring. Don't wait, be the next to own this beautiful property & make this house into your home.",4,4.0,2014,40.09675,-88.172104,,2291.0,1822 Bohn Cir,Urbana,IL,61802,True,1.0,3.0,3,,2.0,1.0,1.0,1.0,0.0,Thomas Paine Elementary School,Urbana Middle School,Urbana High School,13085.0
3198685,2023-07-11,987,287000,"Very well maintained 3 Bedroom, 2 bath home is ready to move into. Open floorplan with many updates. Four Season Room with Heated tile floors overlooking a large fenced back yard. Don't miss the office that could be a workshop on the back of the garage. New roof 2021. Trex decking installed on front porch, New AC and Furnace 2018. Remodeled Kitchen and all new Stainless Steel Appliances 2013.  Home was pre-inspected no inspection contingencies with offer.",3,2.0,1973,40.085186,-88.27336,11455.0,1861.0,2307 Brookshire Dr W,Champaign,IL,61821,True,1.0,2.0,2,,1.0,0.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Central High School,3752.0
89046792,2023-07-12,892,362500,"Welcome to your dream home in the prestigious Legends Subdivision! This stunning, like-new ranch home offers a perfect blend of elegance, functionality, and golf course views. Situated on a prime lot with a picturesque view of hole #2 of the Legends Golf Course, this property will surely impress! Step inside and be greeted by porcelain flooring that flows seamlessly throughout the main floor kitchen, dining and living space. The open layout creates a warm and inviting atmosphere, perfect for entertaining guests or enjoying quality family time. The kitchen offers all stainless steel appliances, a center island with breakfast bar and a large pantry, while the living room has a cozy fireplace with modern shiplap detail. Retreat to the spacious master suite, featuring an attached bath, a walk-in closet and an attached office allowing for seamless productivity without compromising on comfort. The finished basement of this remarkable home offers even more living space and versatility. The huge family room provides an ideal space for hosting movie nights or setting up a game room for endless entertainment. A third bedroom and a full bath on this level make it perfect for accommodating guests, while the storage area ensures that everything has its place, keeping your home organized and clutter-free. Enjoy the serene outdoors from the comfort of your own trex deck or patio, where you can bask in the beauty of the golf course views and the surrounding nature. Don't miss this incredible opportunity to own an exceptional home in the Legends Subdivision. With its impeccable features, finished basement, and stunning golf course views, this property is a rare find.",3,3.0,2019,40.072857,-88.31826,4791.0,1535.0,3213 Palmer Dr,Champaign,IL,61822,True,1.0,2.0,2,,1.0,1.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Centennial High School,8763.0
