name,site,subtypes,category,type,borough,street,city,postal_code,us_state,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,verified,location_link,place_id,google_id
PEAY CONSTRUCTION & RENTALS,https://www.rentler.com/listings/1779588,"Apartment rental agency, Commercial real estate agency, Condominium complex, Construction company, Storage facility",Apartment rental agency,Apartment rental agency,Maeser,585 E 300 S,Provo,84606.0,Utah,40.2298763,-111.6486955,3.8,32,10,0,0,0,22,15,True,"https://www.google.com/maps/place/PEAY+CONSTRUCTION+%26+RENTALS/@40.2298763,-111.64869549999999,14z/data=!4m8!1m2!2m1!1sPEAY+CONSTRUCTION+%26+RENTALS!3m4!1s0x874d974f322c1ab1:0xe55de6e0095a3dbb!8m2!3d40.2298763!4d-111.64869549999999",ChIJsRosMk-XTYcRuz1aCeDmXeU,0x874d974f322c1ab1:0xe55de6e0095a3dbb
FCS Rentals,http://www.fcsrentals.com/,"Apartment rental agency, Property management company, Real estate agency, Student housing center",Property management company,Apartment rental agency,North Park,495 N University Ave #100b,Provo,84601.0,Utah,40.2402168,-111.6589761,4.4,216,25,4,2,5,180,4,True,"https://www.google.com/maps/place/FCS+Rentals/@40.2402168,-111.65897609999999,14z/data=!4m8!1m2!2m1!1sFCS+Rentals!3m4!1s0x874d90ac18b3b4a5:0xf8f94f8035ebd887!8m2!3d40.2402168!4d-111.65897609999999",ChIJpbSzGKyQTYcRh9jrNYBP-fg,0x874d90ac18b3b4a5:0xf8f94f8035ebd887
Central Park Station Apartments,https://www.centralparkstationapartments.com/%3Futm_source%3DGMB%26utm_medium%3Dorganic,Apartment complex,Apartment complex,Apartment complex,Franklin South,560 S 400 W,Provo,84601.0,Utah,40.2266572,-111.6660259,4.3,63,5,2,6,9,41,1,True,"https://www.google.com/maps/place/Central+Park+Station+Apartments/@40.2266572,-111.6660259,14z/data=!4m8!1m2!2m1!1sCentral+Park+Station+Apartments!3m4!1s0x874d99fd7daf7fa3:0x73aed1e64fa901c7!8m2!3d40.2266572!4d-111.6660259",ChIJo3-vff2ZTYcRxwGpT-bRrnM,0x874d99fd7daf7fa3:0x73aed1e64fa901c7
Lofts at Rivers Edge,https://www.loftsatriversedge.com/,"Apartment complex, Apartment building, Apartment rental agency, Condominium complex, Condominium rental agency, Real estate rental agency",Apartment complex,Apartment complex,Riverside,440 W River Vw Wy,Provo,84604.0,Utah,40.2662759,-111.667698,4.6,25,1,1,1,1,21,10,True,"https://www.google.com/maps/place/Lofts+at+Rivers+Edge/@40.2662759,-111.667698,14z/data=!4m8!1m2!2m1!1sLofts+at+Rivers+Edge!3m4!1s0x874d9b8ad04ff2bb:0x98537917f5ca862f!8m2!3d40.2662759!4d-111.667698",ChIJu_JP0IqbTYcRL4bK9Rd5U5g,0x874d9b8ad04ff2bb:0x98537917f5ca862f
Provo Crown Apartments,http://www.provocrownapartments.com/,Property management company,Property management company,Property management company,Joaquin,455 E 600 N,Provo,84606.0,Utah,40.241945,-111.6507412,3.2,31,9,2,1,11,8,7,False,"https://www.google.com/maps/place/Provo+Crown+Apartments/@40.241945,-111.6507412,14z/data=!4m8!1m2!2m1!1sProvo+Crown+Apartments!3m4!1s0x874d90b22cc89e73:0xac7a49b9d22b4e31!8m2!3d40.241945!4d-111.6507412",ChIJc57ILLKQTYcRMU4r0rlJeqw,0x874d90b22cc89e73:0xac7a49b9d22b4e31
Campus Plaza Apartments,http://www.campusplazaapts.com/,Property management company,Property management company,Property management company,,669 E 800 N,Provo,84606.0,Utah,40.2444731,-111.6474968,4.2,69,5,5,5,12,42,11,True,"https://www.google.com/maps/place/Campus+Plaza+Apartments/@40.2444731,-111.6474968,14z/data=!4m8!1m2!2m1!1sCampus+Plaza+Apartments!3m4!1s0x874d90b6c6f4419b:0xc7b79cc3ecbef1df!8m2!3d40.2444731!4d-111.6474968",ChIJm0H0xraQTYcR3_G-7MOct8c,0x874d90b6c6f4419b:0xc7b79cc3ecbef1df
Integrity Place Realty & Property Management,https://www.integrityplace.com/provo%3Futm_campaign%3Dgmb,"Real estate agency, Property management company, Real estate agent, Real estate rental agency",Property management company,Real estate agency,Maeser,450 E 300 S,Provo,84606.0,Utah,40.2294203,-111.6508346,5.0,13,0,0,0,0,13,4,True,"https://www.google.com/maps/place/Integrity+Place+Realty+%26+Property+Management/@40.2294203,-111.6508346,14z/data=!4m8!1m2!2m1!1sIntegrity+Place+Realty+%26+Property+Management!3m4!1s0x874d97d14de11ac3:0xcedf3abb71048460!8m2!3d40.2294203!4d-111.6508346",ChIJwxrhTdGXTYcRYIQEcbs6384,0x874d97d14de11ac3:0xcedf3abb71048460
Carefree Bnb,http://carefreebnb.co/,Vacation home rental agency,Vacation home rental agency,Vacation home rental agency,Downtown,560 S 100 W St,Provo,84601.0,Utah,40.2262583,-111.6607527,4.9,38,0,1,0,0,37,27,True,"https://www.google.com/maps/place/Carefree+Bnb/@40.2262583,-111.66075269999999,14z/data=!4m8!1m2!2m1!1sCarefree+Bnb!3m4!1s0x874d9737e53ae571:0x5a27c6fad5fda0b5!8m2!3d40.2262583!4d-111.66075269999999",ChIJceU65TeXTYcRtaD91frGJ1o,0x874d9737e53ae571:0x5a27c6fad5fda0b5
Casa Dea Apartments,http://goldengatemanagement.org/,Apartment complex,Apartment complex,Apartment complex,Joaquin,660 N 200 E,Provo,84606.0,Utah,40.2425065,-111.6548258,3.8,16,3,1,1,2,9,13,True,"https://www.google.com/maps/place/Casa+Dea+Apartments/@40.2425065,-111.6548258,14z/data=!4m8!1m2!2m1!1sCasa+Dea+Apartments!3m4!1s0x874d90ae1814883b:0xaa2be738e49cd29c!8m2!3d40.2425065!4d-111.6548258",ChIJO4gUGK6QTYcRnNKc5DjnK6o,0x874d90ae1814883b:0xaa2be738e49cd29c
Fleur De Lis Apartments,https://www.fleurdelisprovo.com/,"Apartment complex, Student housing center",Apartment complex,Apartment complex,Joaquin,275 N 300 E,Provo,84606.0,Utah,40.2372864,-111.6536854,3.1,31,11,3,1,4,12,1,True,"https://www.google.com/maps/place/Fleur+De+Lis+Apartments/@40.237286399999995,-111.6536854,14z/data=!4m8!1m2!2m1!1sFleur+De+Lis+Apartments!3m4!1s0x874d90b2af42003d:0x874c4f492de9e79f!8m2!3d40.237286399999995!4d-111.6536854",ChIJPQBCr7KQTYcRn-fpLUlPTIc,0x874d90b2af42003d:0x874c4f492de9e79f
Peaceful Property Management,http://peacefulpm.com/,Property management company,Property management company,Property management company,Joaquin,180 N University Ave Suite 270,Provo,84601.0,Utah,40.2360873,-111.6581726,5.0,32,0,0,0,0,32,6,True,"https://www.google.com/maps/place/Peaceful+Property+Management/@40.2360873,-111.6581726,14z/data=!4m8!1m2!2m1!1sPeaceful+Property+Management!3m4!1s0x874d91f97db5a98b:0x28010a981ab37b6e!8m2!3d40.2360873!4d-111.6581726",ChIJi6m1ffmRTYcRbnuzGpgKASg,0x874d91f97db5a98b:0x28010a981ab37b6e
