name,site,subtypes,category,type,borough,street,city,postal_code,us_state,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,verified,location_link,place_id,google_id
"Continental Real Estate Mgmt, Inc.",https://www.continentalrealestate.net/,"Property management company, Apartment rental agency, General contractor, Homeowners' association, Property maintenance",Property management company,Property management company,,403 S Allen St Suite 206,State College,16801.0,Pennsylvania,40.7917566,-77.85702739999999,2.9,318,145,16,12,19,126,26,True,"https://www.google.com/maps/place/Continental+Real+Estate+Mgmt%2C+Inc./@40.7917566,-77.85702739999999,14z/data=!4m8!1m2!2m1!1sContinental+Real+Estate+Mgmt%2C+Inc.!3m4!1s0x89cea8a26f34fd4d:0x7a65f8787ec39edd!8m2!3d40.7917566!4d-77.85702739999999",ChIJTf00b6KozokR3Z7Dfnj4ZXo,0x89cea8a26f34fd4d:0x7a65f8787ec39edd
Brickwork Properties,https://brickworkproperties.com/,Property management company,Property management company,Property management company,,626 S Pugh St Suite 8,State College,16801.0,Pennsylvania,40.7911405,-77.8535067,4.6,65,3,1,3,3,55,26,True,"https://www.google.com/maps/place/Brickwork+Properties/@40.7911405,-77.8535067,14z/data=!4m8!1m2!2m1!1sBrickwork+Properties!3m4!1s0x89cea91dd8798fb5:0x548f7488bca4c7dc!8m2!3d40.7911405!4d-77.8535067",ChIJtY952B2pzokR3MekvIh0j1Q,0x89cea91dd8798fb5:0x548f7488bca4c7dc
Associated Realty Property Management,https://www.arpm.com/,"Property management company, Apartment rental agency, Student housing center",Property management company,Property management company,,456 E Beaver Ave,State College,16801.0,Pennsylvania,40.7976976,-77.8540809,3.5,525,177,12,12,23,301,9,True,"https://www.google.com/maps/place/Associated+Realty+Property+Management/@40.7976976,-77.8540809,14z/data=!4m8!1m2!2m1!1sAssociated+Realty+Property+Management!3m4!1s0x89cea8a0b0e0806f:0x4e7f679563ff0c52!8m2!3d40.7976976!4d-77.8540809",ChIJb4DgsKCozokRUgz_Y5Vnf04,0x89cea8a0b0e0806f:0x4e7f679563ff0c52
Nevins Real Estate Management,http://www.apartmentsstatecollege.com/,"Apartment rental agency, Apartment building, Apartment complex, Furnished apartment building, Housing complex, Student dormitory, Student housing center",Apartment rental agency,Apartment rental agency,,214 S Allen St #1,State College,16801.0,Pennsylvania,40.79298,-77.860055,3.4,26,10,0,0,1,15,9,True,"https://www.google.com/maps/place/Nevins+Real+Estate+Management/@40.79298,-77.860055,14z/data=!4m8!1m2!2m1!1sNevins+Real+Estate+Management!3m4!1s0x89cea898a3b57cf3:0x8dd4c284902b553b!8m2!3d40.79298!4d-77.860055",ChIJ83y1o5iozokRO1UrkITC1I0,0x89cea898a3b57cf3:0x8dd4c284902b553b
Briarwood Apartment Homes & Townhomes,https://www.morgan-properties.com/apartments/pa/state-college/briarwood/%3Futm_source%3Dgooglemybusiness%26utm_medium%3Dorganic,"Apartment complex, Apartment building, Apartment rental agency",Apartment complex,Apartment complex,,679-A Waupelani Dr,State College,16801.0,Pennsylvania,40.7734185,-77.85563479999999,3.3,116,32,13,9,13,49,246,True,"https://www.google.com/maps/place/Briarwood+Apartment+Homes+%26+Townhomes/@40.7734185,-77.85563479999999,14z/data=!4m8!1m2!2m1!1sBriarwood+Apartment+Homes+%26+Townhomes!3m4!1s0x89cea8c16277568b:0x1ee09220aec27ea!8m2!3d40.7734185!4d-77.85563479999999",ChIJi1Z3YsGozokR6ifsCiIJ7gE,0x89cea8c16277568b:0x1ee09220aec27ea
PSU Houses,http://www.psuhouses.com/,Apartment rental agency,Apartment rental agency,Apartment rental agency,,437 W Beaver Ave,State College,16801.0,Pennsylvania,40.7901493,-77.8649791,5.0,55,0,0,0,0,55,28,True,"https://www.google.com/maps/place/PSU+Houses/@40.790149299999996,-77.8649791,14z/data=!4m8!1m2!2m1!1sPSU+Houses!3m4!1s0x89cea899ef2f1c2b:0x52b12e9cb33af613!8m2!3d40.790149299999996!4d-77.8649791",ChIJKxwv75mozokRE_Y6s5wusVI,0x89cea899ef2f1c2b:0x52b12e9cb33af613
"College West, LLC",http://collegewestllc.com/,Apartment rental agency,Apartment rental agency,Apartment rental agency,,422 Clay Ln,State College,16801.0,Pennsylvania,40.791495,-77.8663282,3.5,34,12,0,1,1,20,1,False,"https://www.google.com/maps/place/College+West%2C+LLC/@40.791495,-77.8663282,14z/data=!4m8!1m2!2m1!1sCollege+West%2C+LLC!3m4!1s0x89cea89a3abe3b81:0x547e0abdf1f9073a!8m2!3d40.791495!4d-77.8663282",ChIJgTu-OpqozokROgf58b0KflQ,0x89cea89a3abe3b81:0x547e0abdf1f9073a
Park Crest Terrace Apartments,https://calibreresidential.com/,"Apartment building, Apartment complex, Apartment rental agency, Low income housing program, Property management company, Student housing center",Apartment building,Apartment building,,1400 Martin St Office #1,State College,16803.0,Pennsylvania,40.8025545,-77.88947089999999,2.4,50,30,3,0,3,14,59,True,"https://www.google.com/maps/place/Park+Crest+Terrace+Apartments/@40.8025545,-77.88947089999999,14z/data=!4m8!1m2!2m1!1sPark+Crest+Terrace+Apartments!3m4!1s0x89cea87f6f3ff1db:0xa3752f769a4352bb!8m2!3d40.8025545!4d-77.88947089999999",ChIJ2_E_b3-ozokRu1JDmnYvdaM,0x89cea87f6f3ff1db:0xa3752f769a4352bb
Allenway,https://theallenway.com/,Apartment rental agency,Apartment rental agency,Apartment rental agency,,315 S Allen St #123,State College,16801.0,Pennsylvania,40.7924118,-77.8577499,4.4,20,1,2,1,0,16,23,True,"https://www.google.com/maps/place/Allenway/@40.792411799999996,-77.8577499,14z/data=!4m8!1m2!2m1!1sAllenway!3m4!1s0x89cea8a269d737db:0x4eaf9dc2af4d784!8m2!3d40.792411799999996!4d-77.8577499",ChIJ2zfXaaKozokRhNf0Ktz56gQ,0x89cea8a269d737db:0x4eaf9dc2af4d784
RISE at State College,https://www.risestatecollege.com/%3Futm_perq%3Dgbp,"Apartment complex, Apartment building",Apartment complex,Apartment complex,,532 E College Ave,State College,16801.0,Pennsylvania,40.7998517,-77.85393119999999,4.2,178,27,6,7,10,128,77,True,"https://www.google.com/maps/place/RISE+at+State+College/@40.7998517,-77.85393119999999,14z/data=!4m8!1m2!2m1!1sRISE+at+State+College!3m4!1s0x89cea8a1d9340f27:0xad52e79667cdc849!8m2!3d40.7998517!4d-77.85393119999999",ChIJJw802aGozokRScjNZ5bnUq0,0x89cea8a1d9340f27:0xad52e79667cdc849
Executive House Apartments,https://www.apartmentsstatecollege.com/executive-house,"Apartment building, Apartment complex, Apartment rental agency, Housing complex, Student dormitory, Student housing center",Apartment building,Apartment building,,411 Waupelani Dr,State College,16801.0,Pennsylvania,40.7804726,-77.85383209999999,4.5,34,2,0,2,4,26,32,True,"https://www.google.com/maps/place/Executive+House+Apartments/@40.780472599999996,-77.85383209999999,14z/data=!4m8!1m2!2m1!1sExecutive+House+Apartments!3m4!1s0x89cea8bf4a4d324f:0xd6a64a6af10cbafe!8m2!3d40.780472599999996!4d-77.85383209999999",ChIJTzJNSr-ozokR_roM8WpKptY,0x89cea8bf4a4d324f:0xd6a64a6af10cbafe
The Valley Apartments & Townhomes,https://www.thevalleystatecollege.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dgmb_listing%26hyly_channel%3Dpr%26hyly_method%3Dw,"Apartment complex, Apartment building, Furnished apartment building, Student housing center",Apartment complex,Apartment complex,,870 Toftrees Ave,State College,16803.0,Pennsylvania,40.8215794,-77.8842295,3.9,401,88,10,8,38,257,107,True,"https://www.google.com/maps/place/The+Valley+Apartments+%26+Townhomes/@40.8215794,-77.8842295,14z/data=!4m8!1m2!2m1!1sThe+Valley+Apartments+%26+Townhomes!3m4!1s0x89cea7a9d922faa3:0x56401fe8dd53f4a7!8m2!3d40.8215794!4d-77.8842295",ChIJo_oi2amnzokRp_RT3egfQFY,0x89cea7a9d922faa3:0x56401fe8dd53f4a7
Toftrees Apartments,https://www.toftrees.net/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"Apartment complex, Apartment building",Apartment complex,Apartment complex,,390 Toftrees Ave,State College,16803.0,Pennsylvania,40.8233541,-77.8916995,3.7,122,29,8,4,15,66,307,True,"https://www.google.com/maps/place/Toftrees+Apartments/@40.823354099999996,-77.8916995,14z/data=!4m8!1m2!2m1!1sToftrees+Apartments!3m4!1s0x89cea7b7ec8de89d:0x10fefbb8bd2fc224!8m2!3d40.823354099999996!4d-77.8916995",ChIJneiN7LenzokRJMIvvbj7_hA,0x89cea7b7ec8de89d:0x10fefbb8bd2fc224
Calder Commons Apartments,https://www.caldercommons.com/%3Futm_source%3DSocial%2BMedia%26utm_medium%3DGoogle%2BMy%2BBusiness%26utm_campaign%3DGeneral,"Apartment building, Apartment complex",Apartment building,Apartment building,,520 E Calder Way,State College,16801.0,Pennsylvania,40.7997627,-77.8531637,4.3,92,7,2,1,25,57,95,True,"https://www.google.com/maps/place/Calder+Commons+Apartments/@40.799762699999995,-77.8531637,14z/data=!4m8!1m2!2m1!1sCalder+Commons+Apartments!3m4!1s0x89cea61de2077b8f:0xf1643ead0af16e9f!8m2!3d40.799762699999995!4d-77.8531637",ChIJj3sH4h2mzokRn27xCq0-ZPE,0x89cea61de2077b8f:0xf1643ead0af16e9f
Vairo Village,https://www.vairovillage.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"Apartment complex, Apartment building",Apartment complex,Apartment complex,,550 Oakwood Ave,State College,16803.0,Pennsylvania,40.8177414,-77.88839899999999,2.6,109,54,11,4,8,32,295,True,"https://www.google.com/maps/place/Vairo+Village/@40.817741399999996,-77.88839899999999,14z/data=!4m8!1m2!2m1!1sVairo+Village!3m4!1s0x89cea7cc6b9b8257:0x6b4db916676f243!8m2!3d40.817741399999996!4d-77.88839899999999",ChIJV4Kba8ynzokRQ_J2ZpHbtAY,0x89cea7cc6b9b8257:0x6b4db916676f243
Alight State College,https://alight-statecollege.com/,"Apartment complex, Apartment building",Apartment complex,Apartment complex,,348 Blue Course Dr,State College,16803.0,Pennsylvania,40.8002495,-77.8865227,3.0,334,136,19,22,37,120,120,True,"https://www.google.com/maps/place/Alight+State+College/@40.8002495,-77.8865227,14z/data=!4m8!1m2!2m1!1sAlight+State+College!3m4!1s0x89cea87f146ca71f:0x4fa4b4c203a7fc39!8m2!3d40.8002495!4d-77.8865227",ChIJH6dsFH-ozokROfynA8K0pE8,0x89cea87f146ca71f:0x4fa4b4c203a7fc39
University Terrace Apartments,https://www.apartmentstore.com/locations/state-college/university-terrace/%3Fs_lease%3D2025-2026-full-year,"Apartment complex, Apartment building, Student housing center",Apartment complex,Apartment complex,,825 Bellaire Ave,State College,16801.0,Pennsylvania,40.801122,-77.8459499,2.4,60,32,5,2,7,14,26,True,"https://www.google.com/maps/place/University+Terrace+Apartments/@40.801122,-77.8459499,14z/data=!4m8!1m2!2m1!1sUniversity+Terrace+Apartments!3m4!1s0x89cea6031b6b7273:0x50efb52508ecf897!8m2!3d40.801122!4d-77.8459499",ChIJc3JrGwOmzokRl_jsCCW171A,0x89cea6031b6b7273:0x50efb52508ecf897
Palmerton Apartment Complex,https://www.apartmentstore.com/locations/state-college/the-palmerton/,Apartment complex,Apartment complex,Apartment complex,,316 W Beaver Ave,State College,16801.0,Pennsylvania,40.7910704,-77.8629022,3.5,15,3,0,3,4,5,4,True,"https://www.google.com/maps/place/Palmerton+Apartment+Complex/@40.791070399999995,-77.8629022,14z/data=!4m8!1m2!2m1!1sPalmerton+Apartment+Complex!3m4!1s0x89cea890bf71232f:0x74270d4ed88fa7c3!8m2!3d40.791070399999995!4d-77.8629022",ChIJLyNxv5CozokRw6eP2E4NJ3Q,0x89cea890bf71232f:0x74270d4ed88fa7c3
The Canyon,https://www.livethecanyon.com/%3Futm_source%3DGoogleMyBusiness%26utm_medium%3Dorganic%26utm_campaign%3DGMB%26switch_cls%5Bid%5D%3D66734,Apartment rental agency,Apartment rental agency,Apartment rental agency,,309 E Beaver Ave,State College,16801.0,Pennsylvania,40.795987,-77.8571561,4.7,382,18,0,6,39,319,5,True,"https://www.google.com/maps/place/The+Canyon/@40.795987,-77.8571561,14z/data=!4m8!1m2!2m1!1sThe+Canyon!3m4!1s0x89cea9d065e0a31b:0x8a3ea79d65999e07!8m2!3d40.795987!4d-77.8571561",ChIJG6PgZdCpzokRB56ZZZ2nPoo,0x89cea9d065e0a31b:0x8a3ea79d65999e07
the co.space,http://www.thecospace.com/,"Housing cooperative, Furnished apartment building, Student housing center",Housing cooperative,Housing cooperative,,244 E Nittany Ave,State College,16801.0,Pennsylvania,40.7938047,-77.8552624,5.0,46,0,0,0,1,45,150,True,"https://www.google.com/maps/place/the+co.space/@40.793804699999995,-77.8552624,14z/data=!4m8!1m2!2m1!1sthe+co.space!3m4!1s0x89cea8a3d9691fdf:0xc5daa8e0377a7684!8m2!3d40.793804699999995!4d-77.8552624",ChIJ3x9p2aOozokRhHZ6N-Co2sU,0x89cea8a3d9691fdf:0xc5daa8e0377a7684
Haus State College,https://www.hausstatecollege.com/%3Futm_source%3DGoogleMyBusiness%26utm_medium%3Dorganic%26utm_campaign%3DGMB%26switch_cls%5Bid%5D%3D66734,Apartment complex,Apartment complex,Apartment complex,,914 W College Ave,State College,16801.0,Pennsylvania,40.786498,-77.87169329999999,4.6,84,7,1,0,6,70,35,True,"https://www.google.com/maps/place/Haus+State+College/@40.786498,-77.87169329999999,14z/data=!4m8!1m2!2m1!1sHaus+State+College!3m4!1s0x89cea99d059a3013:0x78f068d1d58eeee5!8m2!3d40.786498!4d-77.87169329999999",ChIJEzCaBZ2pzokR5e6O1dFo8Hg,0x89cea99d059a3013:0x78f068d1d58eeee5
Toftrees Apartments - Turtle Creek Apartments,https://www.toftreesapartments.com/turtle-creek-apartments/,Apartment building,Apartment building,Apartment building,,240-358 Toftrees Ave,State College,16803.0,Pennsylvania,40.8225996,-77.8986527,4.8,31,1,0,0,2,28,9,True,"https://www.google.com/maps/place/Toftrees+Apartments+-+Turtle+Creek+Apartments/@40.8225996,-77.8986527,14z/data=!4m8!1m2!2m1!1sToftrees+Apartments+-+Turtle+Creek+Apartments!3m4!1s0x89cea7b3d7572e2d:0xa3b99adeaef262a9!8m2!3d40.8225996!4d-77.8986527",ChIJLS5X17OnzokRqWLyrt6auaM,0x89cea7b3d7572e2d:0xa3b99adeaef262a9
The Maxxen State College,https://www.themaxxen.com/%3Futm_source%3DGoogleMyBusiness%26utm_medium%3Dorganic%26utm_campaign%3DGMB,"Apartment complex, Apartment building, Student housing center",Apartment complex,Apartment complex,,131 Hiester St,State College,16801.0,Pennsylvania,40.7968652,-77.856444,3.6,131,37,6,5,5,78,27,True,"https://www.google.com/maps/place/The+Maxxen+State+College/@40.7968652,-77.856444,14z/data=!4m8!1m2!2m1!1sThe+Maxxen+State+College!3m4!1s0x89cea930e8a35f69:0xe93ec5d90769c86f!8m2!3d40.7968652!4d-77.856444",ChIJaV-j6DCpzokRb8hpB9nFPuk,0x89cea930e8a35f69:0xe93ec5d90769c86f
Southside Commons,http://www.apartmentstore.com/,Apartment complex,Apartment complex,Apartment complex,,610-676 Southgate Dr,State College,16801.0,Pennsylvania,40.7747129,-77.857616,5.0,22,0,0,0,0,22,2,False,"https://www.google.com/maps/place/Southside+Commons/@40.7747129,-77.857616,14z/data=!4m8!1m2!2m1!1sSouthside+Commons!3m4!1s0x89cea95cf10bb347:0x91eba6eab642830f!8m2!3d40.7747129!4d-77.857616",ChIJR7ML8VypzokRD4NCtuqm65E,0x89cea95cf10bb347:0x91eba6eab642830f
State College Collective Apartments,https://www.statecollegecollective.com/%3Fswitch_cls%5Bid%5D%3D65688%26utm_source%3Da53_gbp_website%26utm_medium%3Dorganic,Leasing service,Leasing service,Leasing service,,145 Northbrook Ln,State College,16803.0,Pennsylvania,40.805854,-77.90234699999999,3.2,617,199,25,46,124,223,222,True,"https://www.google.com/maps/place/State+College+Collective+Apartments/@40.805854,-77.90234699999999,14z/data=!4m8!1m2!2m1!1sState+College+Collective+Apartments!3m4!1s0x89cea875f3ba1689:0xadf8602f241683df!8m2!3d40.805854!4d-77.90234699999999",ChIJiRa683WozokR34MWJC9g-K0,0x89cea875f3ba1689:0xadf8602f241683df
Imperial Towers Apartments,http://www.imptowers.com/,"Apartment complex, Apartment building, Apartment rental agency",Apartment complex,Apartment complex,,425 Waupelani Dr,State College,16801.0,Pennsylvania,40.77916,-77.85544759999999,4.7,29,1,0,1,3,24,21,True,"https://www.google.com/maps/place/Imperial+Towers+Apartments/@40.77916,-77.85544759999999,14z/data=!4m8!1m2!2m1!1sImperial+Towers+Apartments!3m4!1s0x89cea8c0a8031459:0xd5e6da0f1b9f7ae!8m2!3d40.77916!4d-77.85544759999999",ChIJWRQDqMCozokRrve58aBtXg0,0x89cea8c0a8031459:0xd5e6da0f1b9f7ae
College Court,http://nittanypm.com/,Apartment complex,Apartment complex,Apartment complex,,265 Blue Course Dr,State College,16803.0,Pennsylvania,40.8017766,-77.8845262,3.8,32,4,3,2,9,14,12,False,"https://www.google.com/maps/place/College+Court/@40.8017766,-77.8845262,14z/data=!4m8!1m2!2m1!1sCollege+Court!3m4!1s0x89cea87f8003736f:0xbca865bdff50038b!8m2!3d40.8017766!4d-77.8845262",ChIJb3MDgH-ozokRiwNQ_71lqLw,0x89cea87f8003736f:0xbca865bdff50038b
Meridian on College Avenue,https://www.meridianoncollegeavenue.com/%3Futm_source%3DSocial%2BMedia%26utm_medium%3DGoogle%2BMy%2BBusiness%26utm_campaign%3DGeneral,"Apartment complex, Apartment building",Apartment complex,Apartment complex,,646 E College Ave,State College,16801.0,Pennsylvania,40.8009681,-77.8521347,4.0,86,12,3,5,22,44,98,True,"https://www.google.com/maps/place/Meridian+on+College+Avenue/@40.8009681,-77.8521347,14z/data=!4m8!1m2!2m1!1sMeridian+on+College+Avenue!3m4!1s0x89cea5f1af6091d9:0x5558f78b24434794!8m2!3d40.8009681!4d-77.8521347",ChIJ2ZFgr_GlzokRlEdDJIv3WFU,0x89cea5f1af6091d9:0x5558f78b24434794
The Shack,,Apartment building,Apartment building,Apartment building,,733 W College Ave,State College,16801.0,Pennsylvania,40.788568,-77.8698275,5.0,16,0,0,0,0,16,3,False,"https://www.google.com/maps/place/The+Shack/@40.788568,-77.8698275,14z/data=!4m8!1m2!2m1!1sThe+Shack!3m4!1s0x89cea94656fd0861:0x5162eb0561a791ee!8m2!3d40.788568!4d-77.8698275",ChIJYQj9VkapzokR7pGnYQXrYlE,0x89cea94656fd0861:0x5162eb0561a791ee
University Gateway,https://www.arpm.com/property/university-gateway/,Apartment complex,Apartment complex,Apartment complex,,616 E College Ave,State College,16801.0,Pennsylvania,40.8006296,-77.85284209999999,4.2,14,1,1,0,4,8,4,False,"https://www.google.com/maps/place/University+Gateway/@40.8006296,-77.85284209999999,14z/data=!4m8!1m2!2m1!1sUniversity+Gateway!3m4!1s0x89cea61dcdb0e187:0x92d121cdeb02d5d8!8m2!3d40.8006296!4d-77.85284209999999",ChIJh-GwzR2mzokR2NUC680h0ZI,0x89cea61dcdb0e187:0x92d121cdeb02d5d8
The View Apartments,https://www.theviewstatecollege.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dgmb_listing%26hyly_channel%3Dpr%26hyly_method%3Dw,"Apartment complex, Apartment building, Furnished apartment building, Student housing center",Apartment complex,Apartment complex,,850 Toftrees Ave,State College,16803.0,Pennsylvania,40.8228956,-77.8840341,4.0,388,63,17,12,54,242,153,True,"https://www.google.com/maps/place/The+View+Apartments/@40.822895599999995,-77.8840341,14z/data=!4m8!1m2!2m1!1sThe+View+Apartments!3m4!1s0x89cea7b5bf169449:0xffcfa1aa41f74d66!8m2!3d40.822895599999995!4d-77.8840341",ChIJSZQWv7WnzokRZk33Qaqhz_8,0x89cea7b5bf169449:0xffcfa1aa41f74d66
Southgate Apartments,https://www.studenthousingstatecollege.com/%3Fswitch_cls%5Bid%5D%3D65899%26utm_source%3DInstagram%26utm_medium%3Dorganic%26utm_campaign%3Dorgsocial%26utm_content%3Dwebsite%2Bclicks,"Apartment complex, Apartment building, Condominium complex, Student housing center, Townhouse complex",Apartment complex,Apartment complex,,"Southgate Apartments, 713 Southgate Dr",State College,16801.0,Pennsylvania,40.7767026,-77.8591393,3.4,70,14,8,9,16,23,50,True,"https://www.google.com/maps/place/Southgate+Apartments/@40.7767026,-77.8591393,14z/data=!4m8!1m2!2m1!1sSouthgate+Apartments!3m4!1s0x89cea8c197c8a48d:0x1af75a44eb2f7340!8m2!3d40.7767026!4d-77.8591393",ChIJjaTIl8GozokRQHMv60Ra9xo,0x89cea8c197c8a48d:0x1af75a44eb2f7340
Pleasant Pointe Apartments,https://pleasantpointe.rentpmi.com/,Apartment complex,Apartment complex,Apartment complex,,280 Greensboro Cir,State College,16801.0,Pennsylvania,40.839445,-77.8073476,4.5,18,1,0,1,3,13,33,True,"https://www.google.com/maps/place/Pleasant+Pointe+Apartments/@40.839445,-77.8073476,14z/data=!4m8!1m2!2m1!1sPleasant+Pointe+Apartments!3m4!1s0x89cea5b6f89f4af3:0x21add20c21f034a6!8m2!3d40.839445!4d-77.8073476",ChIJ80qf-LalzokRpjTwIQzSrSE,0x89cea5b6f89f4af3:0x21add20c21f034a6
Tremont Student Living,https://tremontstudentliving.com/%3Fy_source%3D1_MTUzMjM1NTctNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,"Apartment rental agency, Apartment building, Apartment complex, Furnished apartment building, Student housing center",Apartment rental agency,Apartment rental agency,,201 Vairo Blvd,State College,16803.0,Pennsylvania,40.812897,-77.8865671,3.2,527,165,19,62,125,156,129,True,"https://www.google.com/maps/place/Tremont+Student+Living/@40.812897,-77.8865671,14z/data=!4m8!1m2!2m1!1sTremont+Student+Living!3m4!1s0x89cea7cd8bcd15bf:0x719029df1e4efb72!8m2!3d40.812897!4d-77.8865671",ChIJvxXNi82nzokRcvtOHt8pkHE,0x89cea7cd8bcd15bf:0x719029df1e4efb72
The Apartment Store,https://www.apartmentstore.com/,"Apartment rental agency, Student housing center",Apartment rental agency,Apartment rental agency,,322 E College Ave Suite 101,State College,16801.0,Pennsylvania,40.7968943,-77.8577987,2.7,135,69,6,6,10,44,25,True,"https://www.google.com/maps/place/The+Apartment+Store/@40.7968943,-77.8577987,14z/data=!4m8!1m2!2m1!1sThe+Apartment+Store!3m4!1s0x89cea8a09d267e9b:0x58e4bbd234edbb06!8m2!3d40.7968943!4d-77.8577987",ChIJm34mnaCozokRBrvtNNK75Fg,0x89cea8a09d267e9b:0x58e4bbd234edbb06
Stone Glenn Apartments,,"Apartment complex, Real estate developer",Apartment complex,Apartment complex,,1730 Bristol Ave # 500,State College,16801.0,Pennsylvania,40.76887019999999,-77.8772055,3.4,22,7,1,2,1,11,9,False,"https://www.google.com/maps/place/Stone+Glenn+Apartments/@40.768870199999995,-77.8772055,14z/data=!4m8!1m2!2m1!1sStone+Glenn+Apartments!3m4!1s0x89cea8f98f7bf4c7:0xd6d76f40a3d910c9!8m2!3d40.768870199999995!4d-77.8772055",ChIJx_R7j_mozokRyRDZo0Bv19Y,0x89cea8f98f7bf4c7:0xd6d76f40a3d910c9
Nittany Garden Apartments,https://www.apartmentstore.com/locations/state-college/nittany-gardens/%3Fs_lease%3D2025-2026-full-year,"Apartment complex, Apartment building, Student housing center",Apartment complex,Apartment complex,,445 Waupelani Dr,State College,16801.0,Pennsylvania,40.7781907,-77.855548,3.8,72,14,4,4,11,39,42,True,"https://www.google.com/maps/place/Nittany+Garden+Apartments/@40.778190699999996,-77.855548,14z/data=!4m8!1m2!2m1!1sNittany+Garden+Apartments!3m4!1s0x89cea8c0eb817e1b:0xef3fe61b90623a1e!8m2!3d40.778190699999996!4d-77.855548",ChIJG36B68CozokRHjpikBvmP-8,0x89cea8c0eb817e1b:0xef3fe61b90623a1e
The Bryn Apartments,https://livethebryn.com/%3Fy_source%3D1_MTUzMDg0NzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,"Apartment building, Apartment rental agency, Student housing center",Apartment building,Apartment building,,601 Vairo Blvd,State College,16803.0,Pennsylvania,40.8103434,-77.8925062,3.2,537,172,18,49,122,176,129,True,"https://www.google.com/maps/place/The+Bryn+Apartments/@40.8103434,-77.8925062,14z/data=!4m8!1m2!2m1!1sThe+Bryn+Apartments!3m4!1s0x89cea7d0f43f0b17:0xbade476f2161e85a!8m2!3d40.8103434!4d-77.8925062",ChIJFws_9NCnzokRWuhhIW9H3ro,0x89cea7d0f43f0b17:0xbade476f2161e85a
Turtle Creek Apartments & Cooper's Pond Townhomes Rental Office,https://www.toftreesapartments.com/,Apartment rental agency,Apartment rental agency,Apartment rental agency,,701 Cricklewood Dr,State College,16803.0,Pennsylvania,40.8293342,-77.8881505,4.9,17,0,0,1,0,16,8,True,"https://www.google.com/maps/place/Turtle+Creek+Apartments+%26+Cooper%27s+Pond+Townhomes+Rental+Office/@40.8293342,-77.8881505,14z/data=!4m8!1m2!2m1!1sTurtle+Creek+Apartments+%26+Cooper%27s+Pond+Townhomes+Rental+Office!3m4!1s0x89cea7b81c6b50c5:0xa9452a9fa59b6e77!8m2!3d40.8293342!4d-77.8881505",ChIJxVBrHLinzokRd26bpZ8qRak,0x89cea7b81c6b50c5:0xa9452a9fa59b6e77
Lions Gate Apartments,https://www.continentalrealestate.net/,Apartment building,Apartment building,Apartment building,,424 Waupelani Dr,State College,16801.0,Pennsylvania,40.7788875,-77.8537333,2.9,34,12,4,3,4,11,61,True,"https://www.google.com/maps/place/Lions+Gate+Apartments/@40.778887499999996,-77.8537333,14z/data=!4m8!1m2!2m1!1sLions+Gate+Apartments!3m4!1s0x89cea8bf51058c9f:0x5d42b0841fde8804!8m2!3d40.778887499999996!4d-77.8537333",ChIJn4wFUb-ozokRBIjeH4SwQl0,0x89cea8bf51058c9f:0x5d42b0841fde8804
The Villas at Happy Valley,https://www.villashappyvalley.com/,"Apartment complex, Apartment building",Apartment complex,Apartment complex,,1335 Dreibelbis St,State College,16801.0,Pennsylvania,40.8345353,-77.81127149999999,3.9,108,19,4,6,21,58,69,True,"https://www.google.com/maps/place/The+Villas+at+Happy+Valley/@40.8345353,-77.81127149999999,14z/data=!4m8!1m2!2m1!1sThe+Villas+at+Happy+Valley!3m4!1s0x89cea44c5fc33f4b:0xe3fdac4053e71456!8m2!3d40.8345353!4d-77.81127149999999",ChIJSz_DX0ykzokRVhTnU0Cs_eM,0x89cea44c5fc33f4b:0xe3fdac4053e71456
Highwoods at Toftrees Apartments,https://www.toftrees.net/,"Apartment complex, Apartment building",Apartment building,Apartment complex,,390 Toftrees Ave,State College,16803.0,Pennsylvania,40.8222465,-77.8901367,3.4,15,6,0,0,0,9,7,True,"https://www.google.com/maps/place/Highwoods+at+Toftrees+Apartments/@40.8222465,-77.8901367,14z/data=!4m8!1m2!2m1!1sHighwoods+at+Toftrees+Apartments!3m4!1s0x89cea7b66aa54767:0x4280d72d57e97e5c!8m2!3d40.8222465!4d-77.8901367",ChIJZ0elaranzokRXH7pVy3XgEI,0x89cea7b66aa54767:0x4280d72d57e97e5c
The Graduate,http://gnrealty.com/the-graduate,Apartment building,Apartment building,Apartment building,,138 S Atherton St,State College,16801.0,Pennsylvania,40.7908809,-77.8640887,3.6,14,3,2,0,2,7,28,True,"https://www.google.com/maps/place/The+Graduate/@40.7908809,-77.8640887,14z/data=!4m8!1m2!2m1!1sThe+Graduate!3m4!1s0x89cea89909046bb3:0x95c37ae336752373!8m2!3d40.7908809!4d-77.8640887",ChIJs2sECZmozokRcyN1NuN6w5U,0x89cea89909046bb3:0x95c37ae336752373
