datetime,keyword,trend_index
Jan 2010,Drake,35
Aug 2005,Amber Heard,0
Feb 2010,Drake,35
Sep 2005,Amber Heard,0
Mar 2010,Drake,39
Apr 2010,Drake,44
Oct 2005,Amber Heard,0
May 2010,Drake,51
Nov 2005,Amber Heard,0
Jun 2010,Drake,70
Jul 2010,Drake,56
Dec 2005,Amber Heard,0
Aug 2010,Drake,57
Jan 2004,Cristiano Ronaldo,1
Jan 2006,Amber Heard,0
Sep 2010,Drake,54
Feb 2004,Cristiano Ronaldo,2
Oct 2010,Drake,49
Feb 2006,Amber Heard,0
Nov 2010,Drake,52
Mar 2004,Cristiano Ronaldo,2
Mar 2006,Amber Heard,0
Dec 2010,Drake,53
Apr 2006,Amber Heard,0
Apr 2004,Cristiano Ronaldo,2
Jan 2011,Drake,48
Feb 2011,Drake,41
May 2004,Cristiano Ronaldo,2
May 2006,Amber Heard,0
Mar 2011,Drake,35
Jun 2004,Cristiano Ronaldo,13
Jun 2006,Amber Heard,0
Apr 2011,Drake,33
Jul 2004,Cristiano Ronaldo,32
May 2011,Drake,33
Jul 2006,Amber Heard,0
Aug 2004,Cristiano Ronaldo,11
Jun 2011,Drake,44
Aug 2006,Amber Heard,0
Sep 2004,Cristiano Ronaldo,11
Jul 2011,Drake,41
Sep 2006,Amber Heard,0
Oct 2004,Cristiano Ronaldo,10
Aug 2011,Drake,50
Jan 2004,Johnny Depp,17
Nov 2004,Cristiano Ronaldo,8
Sep 2011,Drake,47
Oct 2006,Amber Heard,0
Feb 2004,Johnny Depp,16
Oct 2011,Drake,57
Dec 2004,Cristiano Ronaldo,8
Nov 2006,Amber Heard,0
Nov 2011,Drake,100
Mar 2004,Johnny Depp,19
Jan 2005,Cristiano Ronaldo,8
Feb 2005,Cristiano Ronaldo,10
Dec 2006,Amber Heard,0
Dec 2011,Drake,81
Apr 2004,Johnny Depp,12
Mar 2005,Cristiano Ronaldo,9
Jan 2007,Amber Heard,0
Jan 2012,Drake,70
Apr 2005,Cristiano Ronaldo,9
May 2004,Johnny Depp,10
Feb 2012,Drake,57
Feb 2007,Amber Heard,0
May 2005,Cristiano Ronaldo,9
Jun 2004,Johnny Depp,8
Mar 2012,Drake,51
Mar 2007,Amber Heard,0
Jun 2005,Cristiano Ronaldo,11
Jul 2004,Johnny Depp,8
Apr 2012,Drake,53
Apr 2007,Amber Heard,0
May 2012,Drake,48
Aug 2004,Johnny Depp,6
Jul 2005,Cristiano Ronaldo,8
Jun 2012,Drake,67
Sep 2004,Johnny Depp,6
Aug 2005,Cristiano Ronaldo,7
May 2007,Amber Heard,0
Jul 2012,Drake,48
Sep 2005,Cristiano Ronaldo,8
Oct 2004,Johnny Depp,6
Jun 2007,Amber Heard,0
Aug 2012,Drake,42
Sep 2012,Drake,41
Oct 2005,Cristiano Ronaldo,10
Nov 2004,Johnny Depp,8
Jul 2007,Amber Heard,0
Oct 2012,Drake,37
Nov 2005,Cristiano Ronaldo,8
Nov 2012,Drake,34
Aug 2007,Amber Heard,0
Dec 2004,Johnny Depp,7
Dec 2012,Drake,32
Dec 2005,Cristiano Ronaldo,8
Jan 2005,Johnny Depp,8
Sep 2007,Amber Heard,0
Jan 2013,Drake,31
Jan 2006,Cristiano Ronaldo,7
Feb 2013,Drake,42
Feb 2006,Cristiano Ronaldo,7
Feb 2005,Johnny Depp,8
Mar 2013,Drake,39
Oct 2007,Amber Heard,0
Mar 2006,Cristiano Ronaldo,7
Mar 2005,Johnny Depp,6
Apr 2013,Drake,40
Nov 2007,Amber Heard,0
Apr 2006,Cristiano Ronaldo,8
May 2013,Drake,39
Apr 2005,Johnny Depp,6
Dec 2007,Amber Heard,0
May 2006,Cristiano Ronaldo,10
Jun 2013,Drake,40
May 2005,Johnny Depp,5
Jul 2013,Drake,39
Jun 2006,Cristiano Ronaldo,36
Jan 2008,Amber Heard,0
Aug 2013,Drake,49
Jun 2005,Johnny Depp,5
Jul 2006,Cristiano Ronaldo,63
Feb 2008,Amber Heard,0
Sep 2013,Drake,78
Jul 2005,Johnny Depp,10
Aug 2006,Cristiano Ronaldo,19
Mar 2008,Amber Heard,0
Oct 2013,Drake,61
Aug 2005,Johnny Depp,8
Sep 2006,Cristiano Ronaldo,17
Nov 2013,Drake,53
Apr 2008,Amber Heard,0
Oct 2006,Cristiano Ronaldo,17
Sep 2005,Johnny Depp,7
Dec 2013,Drake,53
May 2008,Amber Heard,0
